X,CH1,CH2
Date and Time,2021-12-26 06:09:49.132-08:00,2021-12-26 06:09:50.336-08:00
Sampling Frequency (Hz),2047.000000,2047.000000
Delta Time (seconds),0.00048852,0.00048852
Sequence,volts,volts
0,1.00000000,2.10000000
1,0.99952896,2.09901081
2,0.99811627,2.09604418
3,0.99576328,2.09110289
4,0.99247219,2.08419161
5,0.98824611,2.07531684
6,0.98308902,2.06448695
7,0.97700578,2.05171214
8,0.97000211,2.03700444
9,0.96208462,2.02037771
10,0.95326077,2.00184761
11,0.94353886,1.98143160
12,0.93292806,1.95914892
13,0.92143836,1.93502055
14,0.90908059,1.90906923
15,0.89586638,1.88131940
16,0.88180820,1.85179721
17,0.86691927,1.82053048
18,0.85121364,1.78754864
19,0.83470609,1.75288279
20,0.81741218,1.71656557
21,0.79934819,1.67863120
22,0.78053115,1.63911542
23,0.76097879,1.59805545
24,0.74070952,1.55548998
25,0.71974243,1.51145911
26,0.69809729,1.46600431
27,0.67579448,1.41916842
28,0.65285502,1.37099554
29,0.62930051,1.32153108
30,0.60515315,1.27082161
31,0.58043568,1.21891493
32,0.55517139,1.16585993
33,0.52938409,1.11170658
34,0.50309806,1.05650592
35,0.47633806,1.00030994
36,0.44912932,0.94317158
37,0.42149746,0.88514467
38,0.39346851,0.82628388
39,0.36506889,0.76664466
40,0.33632533,0.70628320
41,0.30726493,0.64525636
42,0.27791506,0.58362163
43,0.24830337,0.52143708
44,0.21845776,0.45876130
45,0.18840634,0.39565332
46,0.15817743,0.33217260
47,0.12779950,0.26837895
48,0.09730117,0.20433247
49,0.06671118,0.14009348
50,0.03605834,0.07572252
51,0.00537153,0.01128021
52,-0.02532034,-0.05317272
53,-0.05598836,-0.11757555
54,-0.08660363,-0.18186762
55,-0.11713731,-0.24598836
56,-0.14756064,-0.30987735
57,-0.17784496,-0.37347442
58,-0.20796173,-0.43671963
59,-0.23788258,-0.49955343
60,-0.26757933,-0.56191659
61,-0.29702400,-0.62375039
62,-0.32618884,-0.68499656
63,-0.35504639,-0.74559741
64,-0.38356945,-0.80549584
65,-0.41173115,-0.86463542
66,-0.43950498,-0.92296045
67,-0.46686475,-0.98041597
68,-0.49378469,-1.03694785
69,-0.52023945,-1.09250284
70,-0.54620410,-1.14702860
71,-0.57165417,-1.20047376
72,-0.59656570,-1.25278798
73,-0.62091522,-1.30392196
74,-0.64467978,-1.35382754
75,-0.66783700,-1.40245770
76,-0.69036506,-1.44976662
77,-0.71224273,-1.49570974
78,-0.73344942,-1.54024377
79,-0.75396513,-1.58332677
80,-0.77377054,-1.62491813
81,-0.79284700,-1.66497869
82,-0.81117652,-1.70347070
83,-0.82874185,-1.74035789
84,-0.84552644,-1.77560551
85,-0.86151446,-1.80918037
86,-0.87669087,-1.84105083
87,-0.89104136,-1.87118685
88,-0.90455241,-1.89956007
89,-0.91721130,-1.92614373
90,-0.92900610,-1.95091281
91,-0.93992569,-1.97384396
92,-0.94995980,-1.99491558
93,-0.95909896,-2.01410782
94,-0.96733457,-2.03140261
95,-0.97465887,-2.04678364
96,-0.98106496,-2.06023642
97,-0.98654681,-2.07174829
98,-0.99109924,-2.08130840
99,-0.99471797,-2.08890773
100,-0.99739959,-2.09453914
101,-0.99914158,-2.09819732
102,-0.99994229,-2.09987882
103,-0.99980098,-2.09958205
104,-0.99871776,-2.09730730
105,-0.99669367,-2.09305670
106,-0.99373061,-2.08683428
107,-0.98983137,-2.07864587
108,-0.98499962,-2.06849921
109,-0.97923992,-2.05640384
110,-0.97255770,-2.04237117
111,-0.96495924,-2.02641441
112,-0.95645171,-2.00854860
113,-0.94704312,-1.98879056
114,-0.93674234,-1.96715892
115,-0.92555907,-1.94367404
116,-0.91350384,-1.91835806
117,-0.90058801,-1.89123482
118,-0.88682375,-1.86232988
119,-0.87222403,-1.83167047
120,-0.85680260,-1.79928547
121,-0.84057399,-1.76520539
122,-0.82355349,-1.72946233
123,-0.80575713,-1.69208998
124,-0.78720168,-1.65312353
125,-0.76790462,-1.61259970
126,-0.74788413,-1.57055667
127,-0.72715907,-1.52703404
128,-0.70574896,-1.48207281
129,-0.68367397,-1.43571535
130,-0.66095491,-1.38800532
131,-0.63761318,-1.33898767
132,-0.61367075,-1.28870858
133,-0.58915020,-1.23721542
134,-0.56407462,-1.18455670
135,-0.53846763,-1.13078202
136,-0.51235336,-1.07594205
137,-0.48575641,-1.02008845
138,-0.45870183,-0.96327385
139,-0.43121512,-0.90555176
140,-0.40332217,-0.84697656
141,-0.37504925,-0.78760343
142,-0.34642301,-0.72748832
143,-0.31747041,-0.66668786
144,-0.28821872,-0.60525931
145,-0.25869551,-0.54326056
146,-0.22892858,-0.48075002
147,-0.19894598,-0.41778656
148,-0.16877596,-0.35442952
149,-0.13844694,-0.29073857
150,-0.10798749,-0.22677373
151,-0.07742630,-0.16259524
152,-0.04679218,-0.09826357
153,-0.01611397,-0.03383934
154,0.01457942,0.03061678
155,0.04525907,0.09504406
156,0.07589609,0.15938179
157,0.10646161,0.22356937
158,0.13692683,0.28754634
159,0.16726305,0.35125241
160,0.19744170,0.41462756
161,0.22743434,0.47761211
162,0.25721272,0.54014670
163,0.28674878,0.60217243
164,0.31601470,0.66363087
165,0.34498291,0.72446410
166,0.37362611,0.78461483
167,0.40191733,0.84402639
168,0.42982991,0.90264280
169,0.45733755,0.96040885
170,0.48441434,1.01727011
171,0.51103477,1.07317301
172,0.53717376,1.12806490
173,0.56280669,1.18189405
174,0.58790941,1.23460976
175,0.61245827,1.28616236
176,0.63643014,1.33650328
177,0.65980243,1.38558511
178,0.68255314,1.43336160
179,0.70466083,1.47978774
180,0.72610467,1.52481980
181,0.74686445,1.56841534
182,0.76692062,1.61053331
183,0.78625429,1.65113402
184,0.80484725,1.69017922
185,0.82268196,1.72763212
186,0.83974165,1.76345746
187,0.85601022,1.79762146
188,0.87147236,1.83009195
189,0.88611350,1.86083835
190,0.89991984,1.88983167
191,0.91287839,1.91704461
192,0.92497692,1.94245154
193,0.93620405,1.96602851
194,0.94654920,1.98775331
195,0.95600261,2.00760549
196,0.96455539,2.02556633
197,0.97219948,2.04161891
198,0.97892767,2.05574812
199,0.98473363,2.06794063
200,0.98961189,2.07818498
201,0.99355785,2.08647149
202,0.99656780,2.09279237
203,0.99863889,2.09714167
204,0.99976918,2.09951528
205,0.99995760,2.09991097
206,0.99920398,2.09832836
207,0.99750903,2.09476895
208,0.99487433,2.08923609
209,0.99130238,2.08173500
210,0.98679654,2.07227273
211,0.98136105,2.06085821
212,0.97500104,2.04750218
213,0.96772249,2.03221724
214,0.95953227,2.01501777
215,0.95043809,1.99591999
216,0.94044851,1.97494188
217,0.92957295,1.95210320
218,0.91782166,1.92742548
219,0.90520570,1.90093197
220,0.89173696,1.87264761
221,0.87742812,1.84259906
222,0.86229268,1.81081463
223,0.84634488,1.77732425
224,0.82959976,1.74215949
225,0.81207308,1.70535346
226,0.79378136,1.66694085
227,0.77474183,1.62695784
228,0.75497243,1.58544209
229,0.73449178,1.54243273
230,0.71331917,1.49797026
231,0.69147456,1.45209658
232,0.66897852,1.40485490
233,0.64585225,1.35628972
234,0.62211753,1.30644681
235,0.59779672,1.25537311
236,0.57291274,1.20311675
237,0.54748902,1.14972695
238,0.52154953,1.09525401
239,0.49511869,1.03974924
240,0.46822140,0.98326494
241,0.44088301,0.92585433
242,0.41312928,0.86757148
243,0.38498634,0.80847131
244,0.35648071,0.74860948
245,0.32763924,0.68804241
246,0.29848911,0.62682714
247,0.26905778,0.56502134
248,0.23937298,0.50268325
249,0.20946266,0.43987159
250,0.17935501,0.37664553
251,0.14907840,0.31306464
252,0.11866134,0.24918881
