X,CH1
Date and Time,2021-12-30 16:35:34.396-08:00
Sampling Frequency (Hz),2047.000000
Delta Time (seconds),0.00048852
Sequence,volts
Machine,Machine




0,1.00000000
1,0.99952896
2,0.99811627
3,0.99576328
4,0.99247219
5,0.98824611
6,0.98308902
7,0.97700578
8,0.97000211
9,0.96208462
10,0.95326077
11,0.94353886
12,0.93292806
13,0.92143836
14,0.90908059
15,0.89586638
16,0.88180820
17,0.86691927
18,0.85121364
19,0.83470609
20,0.81741218
21,0.79934819
22,0.78053115
23,0.76097879
24,0.74070952
25,0.71974243
26,0.69809729
27,0.67579448
28,0.65285502
29,0.62930051
30,0.60515315
31,0.58043568
32,0.55517139
33,0.52938409
34,0.50309806
35,0.47633806
36,0.44912932
37,0.42149746
38,0.39346851
39,0.36506889
40,0.33632533
41,0.30726493
42,0.27791506
43,0.24830337
44,0.21845776
45,0.18840634
46,0.15817743
47,0.12779950
48,0.09730117
49,0.06671118
50,0.03605834
51,0.00537153
52,-0.02532034
53,-0.05598836
54,-0.08660363
55,-0.11713731
56,-0.14756064
57,-0.17784496
58,-0.20796173
59,-0.23788258
60,-0.26757933
61,-0.29702400
62,-0.32618884
63,-0.35504639
64,-0.38356945
65,-0.41173115
66,-0.43950498
67,-0.46686475
68,-0.49378469
69,-0.52023945
70,-0.54620410
71,-0.57165417
72,-0.59656570
73,-0.62091522
74,-0.64467978
75,-0.66783700
76,-0.69036506
77,-0.71224273
78,-0.73344942
79,-0.75396513
80,-0.77377054
81,-0.79284700
82,-0.81117652
83,-0.82874185
84,-0.84552644
85,-0.86151446
86,-0.87669087
87,-0.89104136
88,-0.90455241
89,-0.91721130
90,-0.92900610
91,-0.93992569
92,-0.94995980
93,-0.95909896
94,-0.96733457
95,-0.97465887
96,-0.98106496
97,-0.98654681
98,-0.99109924
99,-0.99471797
100,-0.99739959
101,-0.99914158
102,-0.99994229
103,-0.99980098
104,-0.99871776
105,-0.99669367
106,-0.99373061
107,-0.98983137
108,-0.98499962
109,-0.97923992
110,-0.97255770
111,-0.96495924
112,-0.95645171
113,-0.94704312
114,-0.93674234
115,-0.92555907
116,-0.91350384
117,-0.90058801
118,-0.88682375
119,-0.87222403
120,-0.85680260
121,-0.84057399
122,-0.82355349
123,-0.80575713
124,-0.78720168
125,-0.76790462
126,-0.74788413
127,-0.72715907
128,-0.70574896
129,-0.68367397
130,-0.66095491
131,-0.63761318
132,-0.61367075
133,-0.58915020
134,-0.56407462
135,-0.53846763
136,-0.51235336
137,-0.48575641
138,-0.45870183
139,-0.43121512
140,-0.40332217
141,-0.37504925
142,-0.34642301
143,-0.31747041
144,-0.28821872
145,-0.25869551
146,-0.22892858
147,-0.19894598
148,-0.16877596
149,-0.13844694
150,-0.10798749
151,-0.07742630
152,-0.04679218
153,-0.01611397
154,0.01457942
155,0.04525907
156,0.07589609
157,0.10646161
158,0.13692683
159,0.16726305
160,0.19744170
161,0.22743434
162,0.25721272
163,0.28674878
164,0.31601470
165,0.34498291
166,0.37362611
167,0.40191733
168,0.42982991
169,0.45733755
170,0.48441434
171,0.51103477
172,0.53717376
173,0.56280669
174,0.58790941
175,0.61245827
176,0.63643014
177,0.65980243
178,0.68255314
179,0.70466083
180,0.72610467
181,0.74686445
182,0.76692062
183,0.78625429
184,0.80484725
185,0.82268196
186,0.83974165
187,0.85601022
188,0.87147236
189,0.88611350
190,0.89991984
191,0.91287839
192,0.92497692
193,0.93620405
194,0.94654920
195,0.95600261
196,0.96455539
197,0.97219948
198,0.97892767
199,0.98473363
200,0.98961189
201,0.99355785
202,0.99656780
203,0.99863889
204,0.99976918
205,0.99995760
206,0.99920398
207,0.99750903
208,0.99487433
209,0.99130238
210,0.98679654
211,0.98136105
212,0.97500104
213,0.96772249
214,0.95953227
215,0.95043809
216,0.94044851
217,0.92957295
218,0.91782166
219,0.90520570
220,0.89173696
221,0.87742812
222,0.86229268
223,0.84634488
224,0.82959976
225,0.81207308
226,0.79378136
227,0.77474183
228,0.75497243
229,0.73449178
230,0.71331917
231,0.69147456
232,0.66897852
233,0.64585225
234,0.62211753
235,0.59779672
236,0.57291274
237,0.54748902
238,0.52154953
239,0.49511869
240,0.46822140
241,0.44088301
242,0.41312928
243,0.38498634
244,0.35648071
245,0.32763924
246,0.29848911
247,0.26905778
248,0.23937298
249,0.20946266
250,0.17935501
251,0.14907840
252,0.11866134
253,0.08813249
254,0.05752061
255,0.02685455
256,-0.00383682
257,-0.03452457
258,-0.06517979
259,-0.09577361
260,-0.12627721
261,-0.15666184
262,-0.18689888
263,-0.21695984
264,-0.24681642
265,-0.27644047
266,-0.30580409
267,-0.33487961
268,-0.36363965
269,-0.39205712
270,-0.42010523
271,-0.44775756
272,-0.47498807
273,-0.50177111
274,-0.52808143
275,-0.55389425
276,-0.57918526
277,-0.60393062
278,-0.62810704
279,-0.65169172
280,-0.67466245
281,-0.69699760
282,-0.71867611
283,-0.73967757
284,-0.75998219
285,-0.77957085
286,-0.79842508
287,-0.81652713
288,-0.83385994
289,-0.85040718
290,-0.86615327
291,-0.88108337
292,-0.89518341
293,-0.90844012
294,-0.92084099
295,-0.93237436
296,-0.94302935
297,-0.95279593
298,-0.96166489
299,-0.96962788
300,-0.97667740
301,-0.98280681
302,-0.98801033
303,-0.99228307
304,-0.99562098
305,-0.99802094
306,-0.99948068
307,-0.99999882
308,-0.99957488
309,-0.99820926
310,-0.99590323
311,-0.99265898
312,-0.98847957
313,-0.98336892
314,-0.97733185
315,-0.97037406
316,-0.96250209
317,-0.95372336
318,-0.94404614
319,-0.93347956
320,-0.92203355
321,-0.90971891
322,-0.89654724
323,-0.88253095
324,-0.86768324
325,-0.85201809
326,-0.83555028
327,-0.81829530
328,-0.80026942
329,-0.78148962
330,-0.76197359
331,-0.74173971
332,-0.72080706
333,-0.69919534
334,-0.67692492
335,-0.65401678
336,-0.63049250
337,-0.60637425
338,-0.58168474
339,-0.55644723
340,-0.53068550
341,-0.50442382
342,-0.47768693
343,-0.45050002
344,-0.42288870
345,-0.39487899
346,-0.36649726
347,-0.33777026
348,-0.30872506
349,-0.27938901
350,-0.24978975
351,-0.21995516
352,-0.18991337
353,-0.15969265
354,-0.12932150
355,-0.09882851
356,-0.06824241
357,-0.03759203
358,-0.00690623
359,0.02378607
360,0.05445597
361,0.08507456
362,0.11561301
363,0.14604254
364,0.17633449
365,0.20646031
366,0.23639163
367,0.26610025
368,0.29555818
369,0.32473767
370,0.35361123
371,0.38215165
372,0.41033206
373,0.43812590
374,0.46550699
375,0.49244953
376,0.51892815
377,0.54491788
378,0.57039426
379,0.59533328
380,0.61971145
381,0.64350579
382,0.66669390
383,0.68925393
384,0.71116462
385,0.73240533
386,0.75295605
387,0.77279743
388,0.79191077
389,0.81027805
390,0.82788199
391,0.84470600
392,0.86073421
393,0.87595155
394,0.89034366
395,0.90389700
396,0.91659878
397,0.92843706
398,0.93940066
399,0.94947928
400,0.95866340
401,0.96694438
402,0.97431441
403,0.98076656
404,0.98629475
405,0.99089376
406,0.99455926
407,0.99728781
408,0.99907683
409,0.99992463
410,0.99983042
411,0.99879428
412,0.99681719
413,0.99390102
414,0.99004851
415,0.98526329
416,0.97954987
417,0.97291363
418,0.96536082
419,0.95689856
420,0.94753482
421,0.93727842
422,0.92613903
423,0.91412714
424,0.90125406
425,0.88753192
426,0.87297365
427,0.85759297
428,0.84140436
429,0.82442308
430,0.80666512
